Hourly measurement data supplied by UK-air on 03/03/2025,,,,,
All Data GMT hour ending,,,,,
Site Name,,Edinburgh Nicolson Street,,,
Latitude,,55.94476,,,
Longitude,,-3.183991,,,
Site Type,,Urban Traffic,,,
Zone,,Central Scotland,,,
Agglomeration,,Edinburgh Urban Area,,,
Local Authority,,Edinburgh,,,
Date,Time,Nitrogen dioxide,Sulphur dioxide,PM2.5 particulate matter (Hourly measured),PM10 particulate matter (Hourly measured)
2/1/2025,1:00:00,26.3925,1.59654,5.094,8.3
2/1/2025,2:00:00,22.5675,1.33045,5.094,7.9
2/1/2025,3:00:00,14.535,1.4635,5.755,8.5
2/1/2025,4:00:00,17.9775,1.33045,5.943,9.9
2/1/2025,5:00:00,12.24,1.33045,6.132,10.7
2/1/2025,6:00:00,23.90625,1.4635,6.415,9.5
2/1/2025,7:00:00,22.95,1.13088,5.755,9.4
2/1/2025,8:00:00,51.44625,1.19741,5.472,9.2
2/1/2025,9:00:00,67.89375,1.72959,6.604,11.3
2/1/2025,10:00:00,51.6375,1.53002,5.755,9.2
2/1/2025,11:00:00,36.3375,1.33045,4.717,8.5
2/1/2025,12:00:00,41.11875,1.79611,5.943,9.8
2/1/2025,13:00:00,42.64875,1.66306,6.509,10.2
2/1/2025,14:00:00,22.5675,1.66306,5.66,9.4
2/1/2025,15:00:00,39.97125,1.86263,6.792,10.7
2/1/2025,16:00:00,28.305,1.86263,7.547,11.5
2/1/2025,17:00:00,26.775,1.13088,6.698,11.1
2/1/2025,18:00:00,33.08625,1.59654,7.17,10.9
2/1/2025,19:00:00,33.66,1.99568,7.076,10.2
2/1/2025,20:00:00,50.29875,2.26177,8.774,12.1
2/1/2025,21:00:00,38.05875,2.19524,7.925,10.5
2/1/2025,22:00:00,44.94375,2.26177,8.396,11.3
2/1/2025,23:00:00,28.6875,1.99568,7.83,10
2/1/2025,24:00:00,30.2175,1.79611,6.981,9.4
2/2/2025,1:00:00,19.69875,1.59654,6.698,9
2/2/2025,2:00:00,18.7425,1.41915,6.792,9.3
2/2/2025,3:00:00,12.81375,1.4635,6.604,8.4
2/2/2025,4:00:00,16.83,1.26393,6.226,7.9
2/2/2025,5:00:00,8.415,1.39697,5.094,6.5
2/2/2025,6:00:00,8.22375,1.39697,5.566,7
2/2/2025,7:00:00,9.18,1.53002,4.811,5.9
2/2/2025,8:00:00,17.9775,1.72959,3.962,5
